id,name,cin,city,created_at,postal_code,street,street_number,updated_at,uri
421145,Obec Halič - matričný úrad,316091,,2019-07-07T04:00:03.279Z,985 11,Mieru,66,2019-07-07T04:00:03.279Z,ico://sk/00316091_1001
421176,Štátna ochrana prírody Slovenskej republiky (OVM),17058520,Banská Bystrica,2019-07-07T04:00:03.477Z,97409,Tajovského,28B,2019-07-07T04:00:03.477Z,ico://sk/17058520_10001
421213,Notársky úrad Turzovka- JUDr. Ladislav Kupka,42388945,,2019-07-07T04:00:03.796Z,02354,Jašíkova,,2019-07-07T04:00:03.796Z,ico://sk/42388945_10001
421238,Ústredný portál verejnej správy,42156424,Trnava,2019-07-07T04:00:04.122Z,91702,Kollárova,8,2019-07-07T04:00:04.122Z,ico://sk/42156424_10001
421290,"JUDr. Mária Sporková, notár",30816947,Bratislava,2019-07-07T04:00:04.784Z,831 04,Vajnorská 1,,2019-07-07T04:00:04.784Z,ico://sk/30816947
421294,"JUDr. Magdaléna Šebeňová, notár",31948219,Prešov,2019-07-07T04:00:04.842Z,080 01,Hlavná 17,,2019-07-07T04:00:04.842Z,ico://sk/31948219
421296,"JUDr. Ján Šimov, notár",37999052,Lučenec,2019-07-07T04:00:04.851Z,984 01,Komenského 18,,2019-07-07T04:00:04.851Z,ico://sk/37999052
421298,"JUDr. Vladimír Šťastný, notár",36141887,Námestovo,2019-07-07T04:00:04.864Z,029 01,Cyrila a Metoda 329/6,,2019-07-07T04:00:04.864Z,ico://sk/36141887
421375,"JUDr. Valéria Štetiarová, notár",31931570,Čadca,2019-07-07T04:00:05.434Z,022 01,Slovenských dobrovoľníkov 2048,,2019-07-07T04:00:05.434Z,ico://sk/31931570
421378,"JUDr. Štefan Šutara, notár",34039279,Nitra,2019-07-07T04:00:05.465Z,949 01,Fr. Mojtu 1,,2019-07-07T04:00:05.465Z,ico://sk/34039279
421437,"Úrad práce, sociálnych vecí a rodiny Košice",35556757,,2019-07-07T04:00:05.769Z,04211,Staničné námestie,,2019-07-07T04:00:05.769Z,ico://sk/35556757
421438,"Úrad práce, sociálnych vecí a rodiny Rožňava",35556919,Rožňava,2019-07-07T04:00:05.773Z,04801,Šafárikova,,2019-07-07T04:00:05.773Z,ico://sk/35556919
421439,"Úrad práce, sociálnych vecí a rodiny Stará Ľubovňa",37937740,Stará Ľubovňa,2019-07-07T04:00:05.777Z,06401,Farbiarska,57,2019-07-07T04:00:05.777Z,ico://sk/37937740
421440,"Úrad práce, sociálnych vecí a rodiny Prievidza",37916289,Prievidza,2019-07-07T04:00:05.780Z,97101,Šumperská,,2019-07-07T04:00:05.780Z,ico://sk/37916289
421441,"Úrad práce, sociálnych vecí a rodiny Stropkov",37937707,Stropkov,2019-07-07T04:00:05.787Z,09101,Hlavná,26,2019-07-07T04:00:05.787Z,ico://sk/37937707
421442,"Úrad práce, sociálnych vecí a rodiny Revúca",37949578,Revúca,2019-07-07T04:00:05.790Z,05001,gen. Viesta,4,2019-07-07T04:00:05.790Z,ico://sk/37949578
421458,"JUDr. Dušan Mikita, notár",31201091,Trenčín,2019-07-07T04:00:05.920Z,911 01,Mierové námestie č. 25,,2019-07-07T04:00:05.920Z,ico://sk/31201091
421462,"JUDr. Štefan Morvay, notár",36116734,Bánovce nad Bebravou,2019-07-07T04:00:05.960Z,957 01,Jesenského 70/2,,2019-07-07T04:00:05.960Z,ico://sk/36116734
421464,"Mgr. Mária Nagyová, notár",31871674,Komárno,2019-07-07T04:00:05.978Z,945 01,Jókaiho ul. 26,,2019-07-07T04:00:05.978Z,ico://sk/31871674
421469,Okresný úrad Humenné - katastrálny odbor,151866,,2019-07-07T04:00:06.052Z,,,,2019-07-07T04:00:06.052Z,ico://sk/00151866_10173
421544,"JUDr. Viera Ogurčáková, notár",35543043,Košice,2019-07-07T04:00:06.547Z,040 01,Zborovská 2,,2019-07-07T04:00:06.547Z,ico://sk/35543043
421608,"Úrad práce, sociálnych vecí a rodiny  Vranov nad Topľou",37937766,Vranov nad Topľou,2019-07-07T04:00:18.698Z,09301,Námestie slobody,5,2019-07-07T04:00:18.698Z,ico://sk/37937766
421609,"Úrad práce, sociálnych vecí a rodiny Banská Bystrica",37949799,Banská Bystrica,2019-07-07T04:00:18.701Z,97401,ČSA,7,2019-07-07T04:00:18.701Z,ico://sk/37949799
421622,"JUDr. Agnesa Tormová, notár",31871615,Nové Zámky,2019-07-07T04:00:18.768Z,940 01,Hlavné námestie 7,,2019-07-07T04:00:18.768Z,ico://sk/31871615
421623,"JUDr. Pavol Tóth, notár",42198771,Veľký Krtíš,2019-07-07T04:00:18.777Z,990 01,Banícka 10,,2019-07-07T04:00:18.777Z,ico://sk/42198771
421652,"JUDr. Darina Breznoščáková, notár",42228476,Vranov nad Topľou,2019-07-07T04:00:18.915Z,094 31,M.R.Štefánika 2427,,2019-07-07T04:00:18.915Z,ico://sk/42228476
421653,"JUDr. Mária Malíková, notár",31783414,-,2019-07-07T04:00:18.918Z,811 03,Hurbanovo nám. 5,,2019-07-07T04:00:18.918Z,ico://sk/31783414
421682,"Úrad práce, sociálnych vecí a rodiny Banská Štiavnica",37949624,Banská Štiavnica,2019-07-07T04:00:19.028Z,96901,A.T.Sytnianskeho,1180,2019-07-07T04:00:19.028Z,ico://sk/37949624
421683,"Úrad práce, sociálnych vecí a rodiny Bardejov",37937774,Bardejov,2019-07-07T04:00:19.032Z,08571,Dlhý rad,17,2019-07-07T04:00:19.032Z,ico://sk/37937774
