id,name,cin,city,created_at,postal_code,street,street_number,updated_at,uri
421064,"Správca - Turasová Marcela, Mgr.",48485357,Šaľa,2019-07-07T04:00:02.781Z,,Budovateľská,2256/60,2019-07-07T04:00:02.781Z,ico://sk/48485357_00591
421065,"Spojená škola, Školská 478,  ZBOROV",37873989,,2019-07-07T04:00:02.789Z,08633,Školská,0,2019-07-07T04:00:02.789Z,ico://sk/37873989
421066,"Správca - Demeter Radoslav, JUDr.",48485357,Bratislava,2019-07-07T04:00:02.795Z,,Vysoká,14,2019-07-07T04:00:02.795Z,ico://sk/48485357_00579
421067,Slovenská advokátska komora,30795141,,2019-07-07T04:00:02.800Z,81342,Kolárska,4,2019-07-07T04:00:02.800Z,ico://sk/30795141
421068,Domov dôchodcov v Klížskej Neme,352373,,2019-07-07T04:00:02.805Z,94620,Hlavná,1,2019-07-07T04:00:02.805Z,ico://sk/00352373
421069,"Základná škola s materskou školou J. Kármána s vyučovacím jazykom maďarským Kármán József Alapiskola és Óvoda, J. Kármána 25/5, Lučenec",37888404,Lučenec,2019-07-07T04:00:02.810Z,98401,J. Kármána,5,2019-07-07T04:00:02.810Z,ico://sk/37888404
421070,"Spojená škola T. Ševčenka s vyučovacím jazykom ukrajinským, Sládkovičova 4, Prešov",37947923,Prešov,2019-07-07T04:00:02.819Z,08001,Sládkovičova,4,2019-07-07T04:00:02.819Z,ico://sk/37947923
421071,Základná škola Veľká Ida 1,35544422,Veľká Ida,2019-07-07T04:00:02.823Z,04455,Veľká Ida,1,2019-07-07T04:00:02.823Z,ico://sk/35544422
421072,"Spojená škola, Tokajícka 24, Bratislava",30866499,Bratislava - mestská časť Ružinov,2019-07-07T04:00:02.827Z,82103,Tokajícka,24,2019-07-07T04:00:02.827Z,ico://sk/30866499
421073,"Spojená škola, Lomonosovova 8, Trnava",51279177,Trnava,2019-07-07T04:00:02.832Z,91708,Lomonosovova,8,2019-07-07T04:00:02.832Z,ico://sk/51279177
421074,"Stredná priemyselná škola stavebná, Plzenská 10, Prešov",161837,Prešov,2019-07-07T04:00:02.836Z,08001,Plzenská,10,2019-07-07T04:00:02.836Z,ico://sk/00161837
421075,"Základná škola s materskou školou, Krivec 1355, Hriňová",37831291,Hriňová,2019-07-07T04:00:02.840Z,96205,Krivec,1355,2019-07-07T04:00:02.840Z,ico://sk/37831291
421076,"Základná škola, Komenského 6, Sobrance",35545623,Sobrance,2019-07-07T04:00:02.843Z,07301,Komenského,6,2019-07-07T04:00:02.843Z,ico://sk/35545623
421077,"Správca - Ivorová Anna, Mgr.",48485357,Zvolen,2019-07-07T04:00:02.849Z,,Stráž,223,2019-07-07T04:00:02.849Z,ico://sk/48485357_00576
421078,"Správca - Ambroz Matej, Mgr.",48485357,Bratislava,2019-07-07T04:00:02.854Z,,Kominárska,"2,4",2019-07-07T04:00:02.854Z,ico://sk/48485357_00588
421079,"Súkromná základná škola, Užhorodská 39, Košice",42330181,Košice - mestská časť Juh,2019-07-07T04:00:02.859Z,04011,Užhorodská,39,2019-07-07T04:00:02.859Z,ico://sk/42330181
421080,"Stredná odborná škola, Námestie SNP 5, Partizánske",50424891,Partizánske,2019-07-07T04:00:02.864Z,95823,Námestie SNP,,2019-07-07T04:00:02.864Z,ico://sk/50424891
421081,"Stredná odborná škola technická, Kukučínova 483/12, Poprad",891541,Poprad,2019-07-07T04:00:02.870Z,05801,Kukučínova,12,2019-07-07T04:00:02.870Z,ico://sk/00891541
421082,"Tanečné konzervatórium Evy Jaczovej, Gorazdova 20, Bratislava",30775302,Bratislava - mestská časť Staré Mesto,2019-07-07T04:00:02.875Z,81104,Gorazdova,20,2019-07-07T04:00:02.875Z,ico://sk/30775302
421083,"Súkromná základná škola waldorfská, Polárna 1, Košice",42409136,Košice - mestská časť Nad jazerom,2019-07-07T04:00:02.878Z,04012,Polárna,1,2019-07-07T04:00:02.878Z,ico://sk/42409136
421084,"Základná škola, Hlavná 165, Valaliky",31953158,Valaliky,2019-07-07T04:00:02.886Z,04413,Hlavná,165,2019-07-07T04:00:02.886Z,ico://sk/31953158
421085,"Správca - PILÁT Insolvency Services, k.s.",48485357,Remeniny,2019-07-07T04:00:02.892Z,,Remeniny,112,2019-07-07T04:00:02.892Z,ico://sk/48485357_00583
421086,Základná škola Chminianske Jakubovany,327158,,2019-07-07T04:00:02.896Z,08233,Chminianske Jakubovany,,2019-07-07T04:00:02.896Z,ico://sk/00327158_10001
421087,"Detský domov, A. Hlinku 1139/11, Sereď",180661,Sereď,2019-07-07T04:00:02.902Z,92601,A. Hlinku,11,2019-07-07T04:00:02.902Z,ico://sk/00180661
421088,Detský domov Istebné 258,183521,Istebné,2019-07-07T04:00:02.905Z,02753,Istebné,,2019-07-07T04:00:02.905Z,ico://sk/00183521
421089,Detský domov Pastelka,42499488,Lučenec,2019-07-07T04:00:02.909Z,98559,Železničná,26,2019-07-07T04:00:02.909Z,ico://sk/42499488
421090,"Základná škola s materskou školou, Turá Lúka 131, Myjava",51253381,Myjava,2019-07-07T04:00:02.912Z,90703,Turá Lúka,,2019-07-07T04:00:02.912Z,ico://sk/51253381
421091,Základná škola s materskou školou Horné Orešany 31,36090387,Horné Orešany,2019-07-07T04:00:02.915Z,91903,,,2019-07-07T04:00:02.915Z,ico://sk/36090387
421092,Fakulta verejnej správy,397768,,2019-07-07T04:00:02.919Z,04132,Popradská,,2019-07-07T04:00:02.919Z,ico://sk/00397768_00397768
421093,"Ministerstvo obrany SR, Úrad pre investície a akvizície",30845572,,2019-07-07T04:00:02.923Z,83247,Kutuzovova,,2019-07-07T04:00:02.923Z,ico://sk/30845572_0014
421094,Základná škola Františka Hrušovského,37811941,SK0316512354,2019-07-07T04:00:02.926Z,03843,Gymnaziálna,1,2019-07-07T04:00:02.926Z,ico://sk/37811941
421095,"Súkromná základná umelecká škola, Kamenárska 209, Hliník nad Hronom",37953141,Hliník nad Hronom,2019-07-07T04:00:02.931Z,96601,Kamenárska,,2019-07-07T04:00:02.931Z,ico://sk/37953141
421096,"Bilingválne gymnázium C.S. Lewisa, Haanova 28, Bratislava",30848008,Bratislava - mestská časť Petržalka,2019-07-07T04:00:02.936Z,85104,Haanova,28,2019-07-07T04:00:02.936Z,ico://sk/30848008
421097,"Základná škola, Komenského 113, Lipany",37947770,,2019-07-07T04:00:02.948Z,08271,Komenského,14,2019-07-07T04:00:02.948Z,ico://sk/37947770
421098,"Správca - Správcovská kancelária Betáková Krkošková, k.s.",48485357,Bratislava,2019-07-07T04:00:02.954Z,,Červeňova,14,2019-07-07T04:00:02.954Z,ico://sk/48485357_00587
421099,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu - IOM,50349287,Bratislava - mestská časť Staré Mesto,2019-07-07T04:00:02.960Z,81105,Štefánikova,15,2019-07-07T04:00:02.960Z,ico://sk/50349287_10001
421100,"Správca - Hric Ivan, JUDr.",48485357,Spišská Nová Ves,2019-07-07T04:00:02.965Z,,Ing. Kožucha,8,2019-07-07T04:00:02.965Z,ico://sk/48485357_00590
421101,Základná škola s materskou školou,17071089,Kuzmice,2019-07-07T04:00:02.968Z,07612,Hlavná,160,2019-07-07T04:00:02.968Z,ico://sk/17071089
421102,Základná umelecká škola Jozefa Potočára,37812459,,2019-07-07T04:00:02.972Z,02201,Škoská,12,2019-07-07T04:00:02.972Z,ico://sk/37812459
421103,Základná škola Kunerad,648892,,2019-07-07T04:00:02.977Z,01313,,,2019-07-07T04:00:02.977Z,ico://sk/00648892_10001
421104,Materská škola Košťany nad Turcom,316741,Košťany nad Turcom,2019-07-07T04:00:02.983Z,03841,Košťany nad Turcom,,2019-07-07T04:00:02.983Z,ico://sk/00316741_10002
421105,"Základná škola, Školská 389, Sačurov",37873318,Sačurov,2019-07-07T04:00:02.994Z,09413,Školská 389,1,2019-07-07T04:00:02.994Z,ico://sk/37873318
421106,"Základná škola s materskou školou Václava Mitúcha, Školská 368/2, Horné Srnie",36125938,Horné Srnie,2019-07-07T04:00:03.000Z,91442,Školská,2,2019-07-07T04:00:03.000Z,ico://sk/36125938
421107,"Obec Nižná, okr. Piešťany",312801,Nižná,2019-07-07T04:00:03.009Z,92206,,,2019-07-07T04:00:03.009Z,ico://sk/00312801
421108,"Správca - Rajničová Knapíková Alexandra, JUDr.",48485357,Banská Bystrica,2019-07-07T04:00:03.014Z,,Horné záhrady,2,2019-07-07T04:00:03.014Z,ico://sk/48485357_00593
421109,"Správca - Recovery group, k. s.",48485357,Banská Bystrica,2019-07-07T04:00:03.020Z,,Dolná,6,2019-07-07T04:00:03.020Z,ico://sk/48485357_00581
421110,"Jazyková škola, Plzenská 10, Prešov",35514761,Prešov,2019-07-07T04:00:03.026Z,08001,Plzenská,10,2019-07-07T04:00:03.026Z,ico://sk/35514761
421111,"Základná umelecká škola, Bernolákova 3, Holíč",37838482,Holíč,2019-07-07T04:00:03.037Z,90851,Bernolákova,3,2019-07-07T04:00:03.037Z,ico://sk/37838482
421112,Základná škola s matreskou školou Makov 264,42388104,Makov,2019-07-07T04:00:03.041Z,02356,Makov,264,2019-07-07T04:00:03.041Z,ico://sk/42388104
421113,"Základná škola, Starohorská 8, Dulovce",37861255,Dulovce,2019-07-07T04:00:03.047Z,94656,Starohorská,8,2019-07-07T04:00:03.047Z,ico://sk/37861255
421114,"Detský domov, Semeteš 1208, Vysoká nad Kysucou",51270986,Vysoká nad Kysucou,2019-07-07T04:00:03.053Z,02355,Semeteš,,2019-07-07T04:00:03.053Z,ico://sk/51270986
421115,"Ministerstvo obrany SR, Sekcia modernizácie",30845572,,2019-07-07T04:00:03.058Z,83247,Kutuzovova,,2019-07-07T04:00:03.058Z,ico://sk/30845572_0003
421116,"Ministerstvo obrany SR, Odbor štátnej správy vo vojenskom letectve",30845572,,2019-07-07T04:00:03.062Z,832 47,Kutuzovova,,2019-07-07T04:00:03.062Z,ico://sk/30845572_0005
421117,Materská škola Červenica pri Sabinove 122,326925,,2019-07-07T04:00:03.066Z,08256,-,-,2019-07-07T04:00:03.066Z,ico://sk/00326925_710028288
421118,"JUDr. Jitka Lehotská, notár",50655914,Ružomberok,2019-07-07T04:00:03.070Z,03401,A. Bernoláka,46,2019-07-07T04:00:03.070Z,ico://sk/50655914
421119,"Ministerstvo obrany SR, Úrad správy rozpočtovej kapitoly",30845572,,2019-07-07T04:00:03.078Z,832 47,Kutuzovova,,2019-07-07T04:00:03.078Z,ico://sk/30845572_0006
421120,"Ministerstvo obrany SR, Personálny úrad OS SR",30845572,,2019-07-07T04:00:03.087Z,031 01,Demänová,,2019-07-07T04:00:03.087Z,ico://sk/30845572_0009
421121,"Cirkevná základná umelecká škola sv. Gorazda, M.A. Beňovského 371/45, Vrbové",37844148,Vrbové,2019-07-07T04:00:03.093Z,92203,M. A. Beňovského,45,2019-07-07T04:00:03.093Z,ico://sk/37844148
